분석인덱스,시도명,시군구명,행정동명,일반결제년월,결제금액,전월결제금액,결제변화비율
115,경기도,고양시 덕양구,창릉동,2019-10,84308116,25952520,224.86
116,경기도,고양시 덕양구,창릉동,2019-11,81652540,84308116,-3.15
117,경기도,고양시 덕양구,창릉동,2019-12,142573625,81652540,74.61
118,경기도,고양시 덕양구,창릉동,2020-01,148436494,142573625,4.11
119,경기도,고양시 덕양구,창릉동,2020-02,132610566,148436494,-10.66
120,경기도,고양시 덕양구,창릉동,2020-03,159307054,132610566,20.13
121,경기도,고양시 덕양구,행신1동,2019-09,5201120,5201120,0.00
122,경기도,고양시 덕양구,행신1동,2019-10,25062102,5201120,381.86
123,경기도,고양시 덕양구,행신1동,2019-11,24668281,25062102,-1.57
124,경기도,고양시 덕양구,행신1동,2019-12,45715013,24668281,85.32
125,경기도,고양시 덕양구,행신1동,2020-01,37843777,45715013,-17.22
126,경기도,고양시 덕양구,행신1동,2020-02,34803130,37843777,-8.03
127,경기도,고양시 덕양구,행신1동,2020-03,32619609,34803130,-6.27
128,경기도,고양시 덕양구,행신2동,2019-09,21354020,21354020,0.00
129,경기도,고양시 덕양구,행신2동,2019-10,70857790,21354020,231.82
130,경기도,고양시 덕양구,행신2동,2019-11,60426230,70857790,-14.72
131,경기도,고양시 덕양구,행신2동,2019-12,121893301,60426230,101.72
132,경기도,고양시 덕양구,행신2동,2020-01,110515671,121893301,-9.33
133,경기도,고양시 덕양구,행신2동,2020-02,138299667,110515671,25.14
134,경기도,고양시 덕양구,행신2동,2020-03,126873709,138299667,-8.26
135,경기도,고양시 덕양구,행신3동,2019-09,19483819,19483819,0.00
136,경기도,고양시 덕양구,행신3동,2019-10,61231412,19483819,214.27
137,경기도,고양시 덕양구,행신3동,2019-11,58243597,61231412,-4.88
138,경기도,고양시 덕양구,행신3동,2019-12,94014508,58243597,61.42
139,경기도,고양시 덕양구,행신3동,2020-01,95378563,94014508,1.45
140,경기도,고양시 덕양구,행신3동,2020-02,98140816,95378563,2.90
141,경기도,고양시 덕양구,행신3동,2020-03,106035704,98140816,8.04
142,경기도,고양시 덕양구,행주동,2019-09,10600190,10600190,0.00
143,경기도,고양시 덕양구,행주동,2019-10,30786170,10600190,190.43
144,경기도,고양시 덕양구,행주동,2019-11,27287120,30786170,-11.37
145,경기도,고양시 덕양구,행주동,2019-12,42740820,27287120,56.63
146,경기도,고양시 덕양구,행주동,2020-01,46035470,42740820,7.71
147,경기도,고양시 덕양구,행주동,2020-02,44348788,46035470,-3.66
148,경기도,고양시 덕양구,행주동,2020-03,50105306,44348788,12.98
149,경기도,고양시 덕양구,화전동,2019-09,1802520,1802520,0.00
150,경기도,고양시 덕양구,화전동,2019-10,8430840,1802520,367.73
151,경기도,고양시 덕양구,화전동,2019-11,5324110,8430840,-36.85
152,경기도,고양시 덕양구,화전동,2019-12,7772650,5324110,45.99
153,경기도,고양시 덕양구,화전동,2020-01,15836157,7772650,103.74
154,경기도,고양시 덕양구,화전동,2020-02,32621302,15836157,105.99
155,경기도,고양시 덕양구,화전동,2020-03,30611649,32621302,-6.16
156,경기도,고양시 덕양구,화정1동,2019-09,33596050,33596050,0.00
157,경기도,고양시 덕양구,화정1동,2019-10,99577720,33596050,196.40
158,경기도,고양시 덕양구,화정1동,2019-11,96015673,99577720,-3.58
159,경기도,고양시 덕양구,화정1동,2019-12,154008933,96015673,60.40
160,경기도,고양시 덕양구,화정1동,2020-01,140944816,154008933,-8.48
161,경기도,고양시 덕양구,화정1동,2020-02,147491889,140944816,4.65
162,경기도,고양시 덕양구,화정1동,2020-03,149724615,147491889,1.51
163,경기도,고양시 덕양구,화정2동,2019-09,37197489,37197489,0.00
164,경기도,고양시 덕양구,화정2동,2019-10,107348009,37197489,188.59
165,경기도,고양시 덕양구,화정2동,2019-11,91476485,107348009,-14.79
166,경기도,고양시 덕양구,화정2동,2019-12,187047012,91476485,104.48
167,경기도,고양시 덕양구,화정2동,2020-01,183863148,187047012,-1.70
168,경기도,고양시 덕양구,화정2동,2020-02,199419326,183863148,8.46
169,경기도,고양시 덕양구,화정2동,2020-03,223058576,199419326,11.85
170,경기도,고양시 덕양구,효자동,2019-09,773580,773580,0.00
